直覺	直觀
等量磁碟區	帶區卷
安全性帳戶管理員	安全帳戶管理器
送出	提交
螢幕	屏幕
支援	支持
SNMP 團體字符串	
VLAN 幹道	
VLAN 標記	
VLAN 雙標記	
准許、准予	批准
一般	一般般
多元	多維
管道	渠道
檢討	反省
營運	運營
道地	地道
寫自白書與悔過書	做檢討
	
心理准備	思想准備
	
公德心	精神文明
	
名額、需完成的數量	指標
	
公權力	政治權力
	
沖突	矛盾
	
矛盾	相反的言語、事物
	
是以	因此、所以
	
水准	水平
	
批評、責備	批評
	
厘清	分清
	
訓示、命令	指示
	
說服	思想工作
	
周記、心得報告	思想匯報
	
與境外人事物相關的	涉外事務
	
開發中國家	發展中國家
	
事先串通的人	托兒
	
存在某種問題或陰謀	貓膩
	
A錢、貪污	貪污
	
騙子、金光黨	騙子
	
當選、凍蒜	當選
	
三八	不正經的女人
	
稱贊人很厲害	牛
	
低迷的市場	熊市
	
工廠中的房間	車間
	
作秀	舞台演唱等表演
	
豪雨	雨量大的暴雨
	
西北雨	雷陣雨
	
終身俸、退休金	退休金
	
外匯存底	外匯儲備
	
個人所得	人均收入
	
匯率	外匯牌價、匯率
	
國民生產毛額	國民生產總值
	
噴射機	噴氣式飛機
	
太空梭	太空船
	
飛彈	導彈
	
超音波	超聲波
	
中原標准時間	北京時間
	
終身俸、退休金	退休金
	
撞球　	台球　
	
柴油（機油）	柴油
	
飯店	賓館
	
房間	居室
	
大廈	塔樓
	
公寓	無電梯的四至六層的住房
	
較高價的電梯大廈	公寓
	
衛星電視台	上星台
	
包廂	包間
	
菜單	菜譜
	
歇業	關張
	
報帳	報銷
	
發票	小票、發票
	
品質	品質、質量
	
制造技術	制造工藝
	
保存期限	保值期
	
三溫暖、桑拿	桑拿
	
護發、潤絲	焗油
	
平頭	寸頭、板寸
	
轎車、房車	面包車、轎車
	
計程車	出租車
	
打的	坐出租車
	
公共汽車、公車	公交車
	
家庭計劃	計劃生育，優生優育
	
A肝/B肝/C肝	甲肝/乙肝/丙肝
	
打點滴	輸液
	
癌症、惡性良性腫瘤	腫瘤、癌症
	
發炎	發炎、炎症
	
傷口	創面
	
Ok繃	創可貼
	
捐血	獻血
	
公保醫療、勞保醫療、全民健保	公費醫療
警察局	公安局
輔育院	少年管教所
	
 	
	
 	
	
	
	
 	
 	
	
	
	
	
	
	
	
	
程式	程序
程式設計	程序設計
連接	連接
通路	訪問
軟體	軟件
解除安裝	卸載
視窗	窗口
序列槽	串口
字母數字字元/文數字元	字母數字字符
擴充卡/結合器 轉接器	適配器
應用程式）	應用（程序）
忙線訊號	忙音信號
配置 設定	配置
預設	默認/缺省
磁碟 磁片	軟盤
連接 配接	（船塢式）連接
Enter 鍵	回車鍵
資料總管	資源管理器
檔案	文件
檔案夾	文件夾
當機	凍結/死機
	
	
硬碟	硬盤
	
	
硬體	硬件
	
	
標明	（突出）選定
圖示	圖標
互動	交互
螢幕/顯示器	顯示器/監視器
滑鼠	鼠標
擴充卡/結合器 轉接器	適配器
字首	前綴
程式	程序
程式檔案	程序文件
重新開機	重新啟動/重啟
系統資料庫	注冊表
遠端存取	遠程登錄
螢幕	屏幕
卷軸框/卷軸欄	滾動欄/滾動框
使用管理模組	會話管理模塊
設定	設置
字尾	后綴
工作列	任務欄
	
	
更新	升級
	
	
筆記型電腦	筆記本電腦
	
	
PDA	掌上 電腦?PDA
	
	
桌上型電腦	台式機
	
	
掃描器	掃描儀
	
	
數據機	調制解調器
	
	
CD燒錄機	光盤刻錄機
	
	
聲霸卡	聲卡
	
	
顯示卡	顯卡
	
	
搖杆	手柄
	
	
主機板	主板
	
	
UPS?不斷電系統	UPS?電源保護
	
	
儲存設備	存儲設備
	
	
數位錄音筆	數碼錄音筆
	
	
數位相機	數碼相機
	
	
數位攝影機	數碼攝影機
	
	
纜線數據機/可波魔電	線纜調制解調器
	
	
撥號器	撥號工具
	
	
撥接上網	撥號連接
網域	域
下載 下傳	下載
輕按兩下	雙擊
	
	
數位用戶線路	數字用戶線路
	
	
電子郵件帳戶	電子郵件帳號
	
	
ISDN	綜合業務數字網
	
	
連結	鏈結
	
	
區域網路	局域網
	
	
登出	注銷/退出登錄
	
	
登入	登錄
	
	
導覽列	導航條
	
	
新聞討論區	新聞組
	
	
協定	協議
	
	
代理伺服器	代理服務器
	
	
伺服器	服務器
主控端	宿主機
	
桌面	壁紙
	
	
螢幕保護	屏幕保護
	
	
免費郵件	免費郵箱
	
	
免費個人網頁	免費個人主頁
	
記錄檔	操作日志
內定	默認
捲動	
向下捲動	
分頁工具列	
 	
	
機車、摩托車	摩托車
儲值卡	充值卡
國際電話預付卡	IP卡
柴油、機油	柴油
	
塑膠	塑料
	
捷運	城鐵
	
影印	復印
	
雷射打印機	激光打印機
	
列印	打印
	
雷射	激光、雷射、死光
	
網路、網際網路	網絡、互聯網、因特網、萬維網
	
電腦	電腦、計算機
	
傳銷、直銷	傳銷
	
滑鼠	鼠標
	
原子筆	圓珠筆
	
打火機	火機、打火機
	
瓦斯、天然氣	煤氣、燃氣、瓦斯、天然氣
	
有機食品	綠色食品、有機食品
	
醬油	老抽、生抽
	
便當	盒飯
	
宵夜	夜宵
	
鮪魚	金鎗魚、吞拿魚
	
蕃薯、地瓜	白薯、紅薯
	
蕃茄	西紅柿、蕃茄
	
洋芋片	土豆片
	
馬鈴薯 、洋芋	土豆、馬鈴薯
	
落花生、土豆、花生	花生
	
芭樂	番石榴
	
高麗菜、甘蘭菜	洋白菜、圓白菜
	
白菜	小白菜
	
豬腳	豬手
	
瓦斯爐	燃氣竈
	
鳳梨	鳳梨、菠蘿
	
錄音帶	磁帶、錄音帶
	
半導體	晶體管
	
螢幕	屏幕
	
錄放影機、錄影機	錄影機、攝像機
	
CD?光牒	光盤
	
吹風機	電吹風
	
電動刮胡刀	電動剃須刀
	
刮胡刀	剃須刀
	
電鍋	電飯煲
	
發夾	發卡
	
化妝水、收斂水	化妝水
	
去光水	洗甲水
	
洗面乳	洗面奶
	
洗髮乳	洗髮水
	
行動電話、手機	手機、移動電話
	
 	
	
	
	
 	
 	
	
	
	
	
	
	
短劇、獨幕喜劇	短劇、小品
	
國樂	民樂
	
歌仔戲（台灣、閩南地方戲）	薌劇
	
國術	武術
	
國劇、平劇	京劇
	
卡通片	動畫片
	
閱聽人	受眾
	
康樂活動	文娛活動
	
簡體字	簡化字
	
國文	語文
	
組織、部門、機關	單位
	
文法	語法
	
台語、閩南語、福佬話	閩南話
	
國語	普通話
	
教育程度	文化程度
	
履歷	簡歷
	
姊妹校	兄弟院校
	
研究所學生	研究生
	
大學生	本科生
	
大學	本科、大本、大學
	
聯考	高考
	
國中	初中
	
國小、小學	小學
	
幼稚園、托兒所	幼兒園
	
劇情片	故事片
	
 	
	
	
	
	
 	
 	
	
	
	
	
	
	
愛人	熱戀中的情人
	
男友?女友	朋友、男友?女友
	
夫妻	愛人
	
各行業傑出的女人	三八紅旗手
	
情婦	二奶
	
外婆	姥姥
	
外公	姥爺
	
酒店小姐、公關小姐	三陪小姐
	
警察	公安、民警、警察
	
輔育院	少年管教所
	
警察局	公安局
	
郵差	郵遞員
	
勞工	工人
	
榮民	退伍軍人
	
上司	領導
	
殘障人士	殘疾人
	
同僚、同仁、同事	衕事
	
從業人員	工作人員
	
同志	衕性戀
	
幫派	犯罪團伙
	
外省人	大陸籍台灣居民
	
本省人	台灣籍台灣居民
	
山胞、原住民	高山族
	
群眾	民眾
	
勞工	工人
	
長官、上司、上級　	領導
	
 	
	
	
	
 	
 	
	
	
	
	
	
	
塞普勒斯	塞浦路斯
	
模裡西斯	毛裡求斯
	
薩摩亞	西薩摩亞
	
突尼西亞	突尼斯
	
賴比瑞亞	利比裡亞
	
查德	乍得
	
諾魯	瑙魯
	
格瑞那達	格林納達
	
波扎那	博茨瓦納
	
蓋亞那	圭亞那
	
塞昔耳	塞舌爾
	
肯亞	肯尼亞
	
大韓民國、南韓	大韓民國、韓國(舊稱南朝鮮)
	
北韓	朝鮮
	
高棉	柬埔寨
	
寮國	老撾
	
澳洲	澳大利亞
	
薩伊	扎伊爾
	
紐西蘭	新西蘭
	
紐澤西	新澤西
	
奈及利亞	尼日利亞
	
莫三鼻克	莫桑比克
	
瓜地馬拉	危地馬拉
	
東加	湯加
	
葉門	也門
	
巴貝多	巴巴多斯
	
卡達	卡塔爾
	
波昂	波恩
	
幾內亞·比索	幾內亞比紹
	
史瓦濟蘭	斯威士蘭
	
賴索托	萊索托
	
衣索匹亞	衣索比亞
	
吉布地	吉布提
	
吐瓦魯	圖瓦盧
	
辛巴維（威）	津巴布韋
	
阿拉伯聯合大公國	阿位伯聯合酋長國
	
蘇利南	蘇裡南
	
尚比亞	贊比亞
	
貝裡斯	伯利茲
	
坦尚尼亞	坦桑尼亞
	
茅利塔尼亞	毛裡塔尼亞
	
甘比亞	岡比亞
	
厄瓜多	厄瓜多爾
	
巴巴新幾內亞	巴布亞新幾內亞
	
馬拉威	馬拉維
	
千裡達托貝哥	特立尼達和多巴哥
	
那密比亞	納米比亞
	
馬拉加西	馬達加斯加
	
	
	
稱贊人很厲害	牛B，犀利，給力。
豬腳	豬蹄
保存期限	保質期
	保質期
	
點選	點擊
回報	反饋
送出	提交
送出請求	發出請求
作業系統	操作系統
儲存	保存
資訊	信息
搜尋	搜索
清單	列表
純文字	純文本
月曆	日曆
寄件副本清單	郵件抄送列表
圖形檔	圖片文件
位址	地址
檔案	文件
圖檔	圖片
支援	支持
視窗	窗口
檢視	查看
廢棄	作廢
連結	鏈接
管理者	管理員
使用者	用戶
遠端	遠程
伺服器	服務器
釋出	發布
進行中	處理中
已認證	已通過
產品	項目/專案
子產品	模塊
滑鼠	鼠標
資料集	數據集
登入	登錄
字元	字符
覆寫	覆蓋
正規表達式	正則表達式
圖示	圖標
政策	策略
辨識	辨別
智語	標語
留白	留空
半形逗號	半角逗號
重制	重現
此一	此
進階	高級
新增賬號	注冊賬號
主要電子郵件	常用電子郵件
較長的描述	詳細描述
電腦組態	電腦配置
友善	方便
列印	打印
包覆	括住
背景	後台
資料	
输入	回車
